StartOrder;WS01;OR03326;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR03326;P00206;
PickOrder;WS01;OR03326;P00206;
PickOrder;WS01;OR03326;P00206;
StartOrder;WS01;OR08198;
PickOrder;WS01;OR08198;P00206;
StartOrder;WS01;OR00419;
PickOrder;WS01;OR00419;P00206;
PickOrder;WS01;OR00419;P00206;
StartOrder;WS01;OR07691;
PickOrder;WS01;OR07691;P00206;
PickOrder;WS01;OR07691;P00206;
StartOrder;WS01;OR04264;
PickOrder;WS01;OR04264;P00206;
StartOrder;WS01;OR08571;
PickOrder;WS01;OR08571;P00206;
StartOrder;WS01;OR09656;
PickOrder;WS01;OR09656;P00206;
PickOrder;WS01;OR09656;P00206;
StartOrder;WS01;OR03646;
PickOrder;WS01;OR03646;P00206;
StartOrder;WS01;OR02294;
PickOrder;WS01;OR02294;P00206;
PickOrder;WS01;OR02294;P00206;
PickOrder;WS01;OR02294;P00206;
PickOrder;WS01;OR02294;P00206;
PickOrder;WS01;OR02294;P00206;
PickOrder;WS01;OR02294;P00206;
PickOrder;WS01;OR02294;P00206;
StartOrder;WS01;OR06714;
PickOrder;WS01;OR06714;P00206;
PickOrder;WS01;OR06714;P00206;
PickOrder;WS01;OR06714;P00206;
StartOrder;WS01;OR07045;
PickOrder;WS01;OR07045;P00206;
PickOrder;WS01;OR07045;P00206;
StartOrder;WS01;OR05397;
PickOrder;WS01;OR05397;P00206;
PickOrder;WS01;OR05397;P00206;
PickOrder;WS01;OR05397;P00206;
PickOrder;WS01;OR05397;P00206;
StartOrder;WS01;OR07612;
PickOrder;WS01;OR07612;P00206;
PickOrder;WS01;OR07612;P00206;
StartOrder;WS01;OR00285;
PickOrder;WS01;OR00285;P00206;
PickOrder;WS01;OR00285;P00206;
StartOrder;WS01;OR09684;
PickOrder;WS01;OR09684;P00206;
PickOrder;WS01;OR09684;P00206;
PickOrder;WS01;OR09684;P00206;
StartOrder;WS01;OR01861;
PickOrder;WS01;OR01861;P00206;
PickOrder;WS01;OR01861;P00206;
PickOrder;WS01;OR01861;P00206;
StartOrder;WS01;OR01243;
PickOrder;WS01;OR01243;P00206;
PickOrder;WS01;OR01243;P00206;
StartOrder;WS01;OR01040;
PickOrder;WS01;OR01040;P00206;
PickOrder;WS01;OR01040;P00206;
StartOrder;WS01;OR01845;
PickOrder;WS01;OR01845;P00206;
PickOrder;WS01;OR01845;P00206;
StartOrder;WS01;OR03887;
PickOrder;WS01;OR03887;P00206;
PickOrder;WS01;OR03887;P00206;
StartOrder;WS01;OR08206;
PickOrder;WS01;OR08206;P00206;
PickOrder;WS01;OR08206;P00206;
PickOrder;WS01;OR08206;P00206;
PickOrder;WS01;OR08206;P00206;
StartOrder;WS01;OR02701;
PickOrder;WS01;OR02701;P00206;
StartOrder;WS01;OR08516;
PickOrder;WS01;OR08516;P00206;
PickOrder;WS01;OR08516;P00206;
StartOrder;WS01;OR00410;
PickOrder;WS01;OR00410;P00206;
StartOrder;WS01;OR07688;
PickOrder;WS01;OR07688;P00206;
PickOrder;WS01;OR07688;P00206;
PickOrder;WS01;OR07688;P00206;
StartOrder;WS01;OR00767;
PickOrder;WS01;OR00767;P00206;
PickOrder;WS01;OR00767;P00206;
StartOrder;WS01;OR09226;
PickOrder;WS01;OR09226;P00206;
PickOrder;WS01;OR09226;P00206;
StartOrder;WS01;OR02898;
PickOrder;WS01;OR02898;P00206;
PickOrder;WS01;OR02898;P00206;
PickOrder;WS01;OR02898;P00206;
StartOrder;WS01;OR07704;
PickOrder;WS01;OR07704;P00206;
PickOrder;WS01;OR07704;P00206;
PickOrder;WS01;OR07704;P00206;
PickOrder;WS01;OR07704;P00206;
StartOrder;WS01;OR09077;
PickOrder;WS01;OR09077;P00206;
PickOrder;WS01;OR09077;P00206;
StartOrder;WS01;OR03827;
PickOrder;WS01;OR03827;P00206;
PickOrder;WS01;OR03827;P00206;
PickOrder;WS01;OR03827;P00206;
PickOrder;WS01;OR03827;P00206;
PickOrder;WS01;OR03827;P00206;
StartOrder;WS01;OR03582;
PickOrder;WS01;OR03582;P00206;
PickOrder;WS01;OR03582;P00206;
StartOrder;WS01;OR06913;
PickOrder;WS01;OR06913;P00206;
StartOrder;WS01;OR06120;
PickOrder;WS01;OR06120;P00206;
PickOrder;WS01;OR06120;P00206;
PickOrder;WS01;OR06120;P00206;
StartOrder;WS01;OR01590;
PickOrder;WS01;OR01590;P00206;
PickOrder;WS01;OR01590;P00206;
PickOrder;WS01;OR01590;P00206;
StartOrder;WS01;OR07387;
PickOrder;WS01;OR07387;P00206;
StartOrder;WS01;OR02724;
PickOrder;WS01;OR02724;P00206;
PickOrder;WS01;OR02724;P00206;
StartOrder;WS01;OR00903;
PickOrder;WS01;OR00903;P00206;
PickOrder;WS01;OR00903;P00206;
PickOrder;WS01;OR00903;P00206;
PickOrder;WS01;OR00903;P00206;
StartOrder;WS01;OR05013;
PickOrder;WS01;OR05013;P00206;
PickOrder;WS01;OR05013;P00206;
PickOrder;WS01;OR05013;P00206;
StartOrder;WS01;OR05529;
PickOrder;WS01;OR05529;P00206;
PickOrder;WS01;OR05529;P00206;
PickOrder;WS01;OR05529;P00206;
StartOrder;WS01;OR06019;
PickOrder;WS01;OR06019;P00206;
StartOrder;WS01;OR01340;
PickOrder;WS01;OR01340;P00206;
PickOrder;WS01;OR01340;P00206;
PickOrder;WS01;OR01340;P00206;
PickOrder;WS01;OR01340;P00206;
StartOrder;WS01;OR08594;
PickOrder;WS01;OR08594;P00206;
PickOrder;WS01;OR08594;P00206;
PickOrder;WS01;OR08594;P00206;
StartOrder;WS01;OR02807;
PickOrder;WS01;OR02807;P00206;
PickOrder;WS01;OR02807;P00206;
StartOrder;WS01;OR09212;
PickOrder;WS01;OR09212;P00206;
PickOrder;WS01;OR09212;P00206;
StartOrder;WS01;OR00401;
PickOrder;WS01;OR00401;P00206;
PickOrder;WS01;OR00401;P00206;
StartOrder;WS01;OR07220;
PickOrder;WS01;OR07220;P00206;
PickOrder;WS01;OR07220;P00206;
PickOrder;WS01;OR07220;P00206;
PickOrder;WS01;OR07220;P00206;
StartOrder;WS01;OR02618;
PickOrder;WS01;OR02618;P00206;
PickOrder;WS01;OR02618;P00206;
PickOrder;WS01;OR02618;P00206;
StartOrder;WS01;OR08400;
PickOrder;WS01;OR08400;P00206;
PickOrder;WS01;OR08400;P00206;
PickOrder;WS01;OR08400;P00206;
StartOrder;WS01;OR01909;
PickOrder;WS01;OR01909;P00206;
PickOrder;WS01;OR01909;P00206;
StartOrder;WS01;OR07934;
PickOrder;WS01;OR07934;P00206;
PickOrder;WS01;OR07934;P00206;
StartOrder;WS01;OR09961;
PickOrder;WS01;OR09961;P00206;
PickOrder;WS01;OR09961;P00206;
PickOrder;WS01;OR09961;P00206;
PickOrder;WS01;OR09961;P00206;
PickOrder;WS01;OR09961;P00206;
StartOrder;WS01;OR03551;
PickOrder;WS01;OR03551;P00206;
PickOrder;WS01;OR03551;P00206;
StartOrder;WS01;OR01990;
PickOrder;WS01;OR01990;P00206;
PickOrder;WS01;OR01990;P00206;
StartOrder;WS01;OR02494;
PickOrder;WS01;OR02494;P00206;
PickOrder;WS01;OR02494;P00206;
StartOrder;WS01;OR00176;
PickOrder;WS01;OR00176;P00206;
PickOrder;WS01;OR00176;P00206;
PickOrder;WS01;OR00176;P00206;
PickOrder;WS01;OR00176;P00206;
StartOrder;WS01;OR05995;
PickOrder;WS01;OR05995;P00206;
PickOrder;WS01;OR05995;P00206;
PickOrder;WS01;OR05995;P00206;
StartOrder;WS01;OR02760;
PickOrder;WS01;OR02760;P00206;
PickOrder;WS01;OR02760;P00206;
StartOrder;WS01;OR03502;
PickOrder;WS01;OR03502;P00206;
PickOrder;WS01;OR03502;P00206;
PickOrder;WS01;OR03502;P00206;
PickOrder;WS01;OR03502;P00206;
PickOrder;WS01;OR03502;P00206;
StartOrder;WS01;OR00681;
PickOrder;WS01;OR00681;P00206;
PickOrder;WS01;OR00681;P00206;
StartOrder;WS01;OR02398;
PickOrder;WS01;OR02398;P00206;
PickOrder;WS01;OR02398;P00206;
StartOrder;WS01;OR06103;
PickOrder;WS01;OR06103;P00206;
PickOrder;WS01;OR06103;P00206;
PickOrder;WS01;OR06103;P00206;
PickOrder;WS01;OR06103;P00206;
PickOrder;WS01;OR06103;P00206;
StartOrder;WS01;OR09702;
PickOrder;WS01;OR09702;P00206;
PickOrder;WS01;OR09702;P00206;
PickOrder;WS01;OR09702;P00206;
StartOrder;WS01;OR07903;
PickOrder;WS01;OR07903;P00206;
PickOrder;WS01;OR07903;P00206;
PickOrder;WS01;OR07903;P00206;
StartOrder;WS01;OR05240;
PickOrder;WS01;OR05240;P00206;
PickOrder;WS01;OR05240;P00206;
PickOrder;WS01;OR05240;P00206;
PickOrder;WS01;OR05240;P00206;
PickOrder;WS01;OR05240;P00206;
PickOrder;WS01;OR05240;P00206;
StartOrder;WS01;OR07828;
PickOrder;WS01;OR07828;P00206;
PickOrder;WS01;OR07828;P00206;
PickOrder;WS01;OR07828;P00206;
StartOrder;WS01;OR03479;
PickOrder;WS01;OR03479;P00206;
PickOrder;WS01;OR03479;P00206;
PickOrder;WS01;OR03479;P00206;
StartOrder;WS01;OR07714;
PickOrder;WS01;OR07714;P00206;
StartOrder;WS01;OR08442;
PickOrder;WS01;OR08442;P00206;
PickOrder;WS01;OR08442;P00206;
PickOrder;WS01;OR08442;P00206;
PickOrder;WS01;OR08442;P00206;
StartOrder;WS01;OR07324;
PickOrder;WS01;OR07324;P00206;
PickOrder;WS01;OR07324;P00206;
PickOrder;WS01;OR07324;P00206;
StartOrder;WS01;OR03161;
PickOrder;WS01;OR03161;P00206;
PickOrder;WS01;OR03161;P00206;
StartOrder;WS01;OR08316;
PickOrder;WS01;OR08316;P00206;
StartOrder;WS01;OR04258;
PickOrder;WS01;OR04258;P00206;
PickOrder;WS01;OR04258;P00206;
PickOrder;WS01;OR04258;P00206;
StartOrder;WS01;OR08472;
PickOrder;WS01;OR08472;P00206;
PickOrder;WS01;OR08472;P00206;
PickOrder;WS01;OR08472;P00206;
StartOrder;WS01;OR02257;
PickOrder;WS01;OR02257;P00206;
PickOrder;WS01;OR02257;P00206;
PickOrder;WS01;OR02257;P00206;
PickOrder;WS01;OR02257;P00206;
PickOrder;WS01;OR02257;P00206;
PickOrder;WS01;OR02257;P00206;
StartOrder;WS01;OR01285;
PickOrder;WS01;OR01285;P00206;
PickOrder;WS01;OR01285;P00206;
PickOrder;WS01;OR01285;P00206;
StartOrder;WS01;OR00924;
PickOrder;WS01;OR00924;P00206;
PickOrder;WS01;OR00924;P00206;
PickOrder;WS01;OR00924;P00206;
StartOrder;WS01;OR08839;
PickOrder;WS01;OR08839;P00206;
PickOrder;WS01;OR08839;P00206;
StartOrder;WS01;OR09248;
PickOrder;WS01;OR09248;P00206;
